,rank_turnover
2023-01-03,0.135625
2023-01-04,0.12156250000000002
2023-01-05,0.1359375
2023-01-06,0.1346875
2023-01-09,0.1371875
2023-01-10,0.14875
2023-01-11,0.1303125
2023-01-12,0.14718749999999997
2023-01-13,0.1271875
2023-01-16,0.14281249999999998
2023-01-17,0.145
2023-01-18,0.11937500000000001
2023-01-19,0.1034375
2023-01-20,0.1415625
2023-01-23,0.12156249999999999
2023-01-24,0.123125
2023-01-25,0.1134375
2023-01-26,0.133125
2023-01-27,0.12562500000000001
2023-01-30,0.136875
2023-01-31,0.14625
2023-02-01,0.12593749999999998
2023-02-02,0.1159375
2023-02-03,0.1125
2023-02-06,0.123125
2023-02-07,0.1325
2023-02-08,0.13062500000000002
2023-02-09,0.11531250000000001
2023-02-10,0.11749999999999998
2023-02-13,0.14625
2023-02-14,0.1203125
2023-02-15,0.13
2023-02-16,0.12468749999999999
2023-02-17,0.12562500000000001
2023-02-20,0.11468750000000001
2023-02-21,0.11499999999999999
2023-02-22,0.1140625
2023-02-23,0.1315625
2023-02-24,0.1325
2023-02-27,0.13187500000000002
2023-02-28,0.1275
2023-03-01,0.11937500000000001
2023-03-02,0.1271875
2023-03-03,0.12937500000000002
2023-03-06,0.1390625
2023-03-07,0.129375
2023-03-08,0.12125
2023-03-09,0.10968750000000001
2023-03-10,0.1521875
2023-03-13,0.1253125
2023-03-14,0.1240625
2023-03-15,0.11781250000000001
2023-03-16,0.1084375
2023-03-17,0.110625
2023-03-20,0.11875
2023-03-21,0.13062500000000002
2023-03-22,0.11250000000000002
2023-03-23,0.12468749999999999
2023-03-24,0.09531250000000001
2023-03-27,0.13562500000000002
2023-03-28,0.1459375
2023-03-29,0.11875
2023-03-30,0.15281249999999996
2023-03-31,0.130625
2023-04-03,0.10593749999999999
2023-04-04,0.14250000000000002
2023-04-05,0.121875
2023-04-06,0.1125
2023-04-07,0.1140625
2023-04-10,0.1140625
2023-04-11,0.09968750000000001
2023-04-12,0.0915625
2023-04-13,0.1125
2023-04-14,0.0984375
2023-04-17,0.10031249999999999
2023-04-18,0.11281249999999998
2023-04-19,0.12437500000000001
2023-04-20,0.1503125
2023-04-21,0.10031249999999999
2023-04-24,0.10906249999999999
2023-04-25,0.13093749999999998
2023-04-26,0.134375
2023-04-27,0.1159375
2023-04-28,0.1325
2023-05-01,0.10718749999999999
2023-05-02,0.11875
2023-05-03,0.11500000000000002
2023-05-04,0.11468750000000001
2023-05-05,0.11687499999999999
2023-05-08,0.12468750000000002
2023-05-09,0.1153125
2023-05-10,0.1065625
2023-05-11,0.11906249999999999
2023-05-12,0.1078125
2023-05-15,0.11999999999999997
2023-05-16,0.12781250000000002
2023-05-17,0.1615625
2023-05-18,0.129375
2023-05-19,0.11374999999999999
2023-05-22,0.128125
2023-05-23,0.12156249999999998
2023-05-24,0.15031250000000002
2023-05-25,0.109375
2023-05-26,0.1265625
2023-05-29,0.1303125
2023-05-30,0.11499999999999999
2023-05-31,0.1253125
2023-06-01,0.1328125
2023-06-02,0.136875
2023-06-05,0.1340625
2023-06-06,0.12437499999999999
2023-06-07,0.12875
2023-06-08,0.12656249999999997
2023-06-09,0.11781250000000001
2023-06-12,0.11124999999999999
2023-06-13,0.11968749999999999
2023-06-14,0.10718749999999999
2023-06-15,0.11656249999999999
2023-06-16,0.123125
2023-06-19,0.11374999999999998
2023-06-20,0.11781250000000001
2023-06-21,0.12437499999999999
2023-06-22,0.09937499999999999
2023-06-23,0.10406249999999999
2023-06-26,0.08249999999999999
2023-06-27,0.0884375
2023-06-28,0.1209375
2023-06-29,0.1034375
2023-06-30,0.115625
2023-07-03,0.13156249999999997
2023-07-04,0.10750000000000001
2023-07-05,0.12156250000000002
2023-07-06,0.1203125
2023-07-07,0.1084375
2023-07-10,0.100625
2023-07-11,0.11375000000000002
2023-07-12,0.11281249999999998
2023-07-13,0.12218749999999998
2023-07-14,0.1253125
2023-07-17,0.11937499999999998
2023-07-18,0.1140625
2023-07-19,0.11875
2023-07-20,0.1253125
2023-07-21,0.13781249999999998
2023-07-24,0.12468749999999999
2023-07-25,0.12375
2023-07-26,0.11875
2023-07-27,0.1325
2023-07-28,0.1275
2023-07-31,0.15499999999999997
2023-08-01,0.1409375
2023-08-02,0.11125
2023-08-03,0.11593750000000003
2023-08-04,0.10968750000000001
2023-08-07,0.11375000000000002
2023-08-08,0.1290625
2023-08-09,0.095
2023-08-10,0.1125
2023-08-11,0.12375
2023-08-14,0.11468750000000001
2023-08-15,0.11625
2023-08-16,0.13156249999999997
2023-08-17,0.11968749999999999
2023-08-18,0.11125
2023-08-21,0.118125
2023-08-22,0.12562500000000001
2023-08-23,0.11374999999999999
2023-08-24,0.13968750000000002
2023-08-25,0.1284375
2023-08-28,0.12624999999999997
2023-08-29,0.1028125
2023-08-30,0.145
2023-08-31,0.14343750000000002
2023-09-01,0.1171875
2023-09-04,0.11750000000000001
2023-09-05,0.13874999999999998
2023-09-06,0.10968749999999998
2023-09-07,0.11906249999999999
2023-09-08,0.11281250000000001
2023-09-11,0.1265625
2023-09-12,0.1171875
2023-09-13,0.115625
2023-09-14,0.095
2023-09-15,0.1028125
2023-09-18,0.1171875
2023-09-19,0.12625
2023-09-20,0.1159375
2023-09-21,0.12156249999999999
2023-09-22,0.109375
2023-09-25,0.12937500000000002
2023-09-26,0.1284375
2023-09-27,0.1440625
2023-09-28,0.1328125
2023-09-29,0.14343750000000002
2023-10-02,0.114375
2023-10-03,0.12468749999999999
2023-10-04,0.1328125
2023-10-05,0.13624999999999998
2023-10-06,0.114375
2023-10-09,0.15125000000000002
2023-10-10,0.16218749999999998
2023-10-11,0.14562499999999998
2023-10-12,0.13374999999999998
2023-10-13,0.12625000000000003
2023-10-16,0.13999999999999999
2023-10-17,0.1184375
2023-10-18,0.11687499999999999
2023-10-19,0.1284375
2023-10-20,0.1271875
2023-10-23,0.12281250000000002
