date,quantile,return
2023-01-02,1,0.0076211718327998355
2023-01-02,2,0.0166453310172693
2023-01-02,3,0.0117248583044017
2023-01-02,4,0.014560900139734115
2023-01-02,5,0.011377944638161601
2023-01-03,1,-0.028729954693594545
2023-01-03,2,-0.026173322744884372
2023-01-03,3,-0.029036541228826717
2023-01-03,4,-0.027257071211406705
2023-01-03,5,-0.022187862691923535
2023-01-04,1,0.005602757334394168
2023-01-04,2,0.0023578141326994363
2023-01-04,3,0.002905570992763741
2023-01-04,4,0.0035414223508590578
2023-01-04,5,0.006509264668239839
2023-01-05,1,-0.0037519851009133742
2023-01-05,2,0.0013322515312882911
2023-01-05,3,-0.0038117149356940803
2023-01-05,4,-0.004601668776281572
2023-01-05,5,-0.0034219145388464335
2023-01-06,1,-0.016320010850609024
2023-01-06,2,-0.015185489031290113
2023-01-06,3,-0.014594958405708552
2023-01-06,4,-0.009097998067913941
2023-01-06,5,-0.009009607065336003
2023-01-09,1,-0.009418551626937458
2023-01-09,2,-0.014458522951713562
2023-01-09,3,-0.013759469034098432
2023-01-09,4,-0.007136948411060656
2023-01-09,5,-0.009850477865862278
2023-01-10,1,-0.006071882105623466
2023-01-10,2,-0.012218091729198334
2023-01-10,3,-0.005531113712143644
2023-01-10,4,-0.00790840109347346
2023-01-10,5,-0.0070372063866249905
2023-01-11,1,0.0012964309447601984
2023-01-11,2,-0.0028481982290110832
2023-01-11,3,-0.0032403733089647812
2023-01-11,4,-0.0021770764144398713
2023-01-11,5,0.004350471324553656
2023-01-12,1,-0.0024526946556205284
2023-01-12,2,-0.009728255518039387
2023-01-12,3,-0.007834686181099025
2023-01-12,4,-0.006367969833703402
2023-01-12,5,-0.0065927758426148775
2023-01-13,1,-0.001837935723599253
2023-01-13,2,-0.001384014258257558
2023-01-13,3,0.0025226459335695693
2023-01-13,4,0.002161954629202962
2023-01-13,5,0.00170564731296677
2023-01-16,1,0.005173068154067829
2023-01-16,2,0.006961361664072884
2023-01-16,3,0.00773111372915866
2023-01-16,4,0.005339698726693834
2023-01-16,5,0.0074209356292944725
2023-01-17,1,-0.0020930547800771825
2023-01-17,2,-0.0015769557034222568
2023-01-17,3,0.001521151490627354
2023-01-17,4,0.0019467681060235866
2023-01-17,5,0.0025010793367533763
2023-01-18,1,-0.00651384127538131
2023-01-18,2,-0.0056169077039214515
2023-01-18,3,-0.00758184450773056
2023-01-18,4,-0.0036365281014726445
2023-01-18,5,-0.0035543283368209633
2023-01-19,1,-0.0062809005218543825
2023-01-19,2,-0.0012469341074598773
2023-01-19,3,-0.00372388770159117
2023-01-19,4,-0.002991383960712917
2023-01-19,5,0.0013131544928812488
2023-01-20,1,0.009502122002879046
2023-01-20,2,0.007127135331706845
2023-01-20,3,0.006083201504117805
2023-01-20,4,0.00395925872253279
2023-01-20,5,0.0056738699045747664
2023-01-23,1,0.005436182541320336
2023-01-23,2,0.006299826049709972
2023-01-23,3,0.01124722030258168
2023-01-23,4,0.013566644257815006
2023-01-23,5,0.010748916558013959
2023-01-24,1,-0.00470481445285695
2023-01-24,2,-0.008752471301268952
2023-01-24,3,-0.0068038145090127304
2023-01-24,4,-0.007418506296922121
2023-01-24,5,-0.0046084671557348415
2023-01-25,1,0.012896895060359176
2023-01-25,2,0.008632053040571174
2023-01-25,3,0.011951771266001224
2023-01-25,4,0.01592933055928556
2023-01-25,5,0.014030729628791767
2023-01-26,1,-0.00011644831489254868
2023-01-26,2,-0.0011417263860021311
2023-01-26,3,0.0006480447385207218
2023-01-26,4,-0.0020076164996693144
2023-01-26,5,0.001888560813596732
2023-01-27,1,0.0039337213212324775
2023-01-27,2,0.004186903145195245
2023-01-27,3,0.00575689048444947
2023-01-27,4,0.0001754924541756131
2023-01-27,5,0.009277094558650254
2023-01-30,1,-0.013486942432990624
2023-01-30,2,-0.010934457238220566
2023-01-30,3,-0.008143294092557995
2023-01-30,4,-0.002203195486962457
2023-01-30,5,-0.008735123729361551
2023-01-31,1,-0.013086079947264118
2023-01-31,2,-0.01195228356428228
2023-01-31,3,-0.007487332355065515
2023-01-31,4,-0.01237805449273265
2023-01-31,5,-0.008734184826548426
2023-02-01,1,-0.00501410598564809
2023-02-01,2,-0.012495732048068807
2023-02-01,3,-0.006800042433315204
2023-02-01,4,-0.012962748032225468
2023-02-01,5,-0.011289276229855792
2023-02-02,1,0.01690509252091369
2023-02-02,2,0.01016227409662657
2023-02-02,3,0.01463546648541565
2023-02-02,4,0.01552121973545759
2023-02-02,5,0.011885983318599747
2023-02-03,1,0.009646636869828631
2023-02-03,2,0.007277707343822335
2023-02-03,3,0.013379456867493667
2023-02-03,4,0.014440523738079886
2023-02-03,5,0.006993469429622531
2023-02-06,1,-0.0027188319095611114
2023-02-06,2,0.0046154147584080854
2023-02-06,3,0.005745420414775125
2023-02-06,4,0.008633462292457667
2023-02-06,5,0.0033418185965028435
2023-02-07,1,-0.01152288511490789
2023-02-07,2,-0.0032787464207866095
2023-02-07,3,-0.010754114486489087
2023-02-07,4,-0.005365101086014283
2023-02-07,5,-0.007580326234193682
2023-02-08,1,-0.0034290837730427412
2023-02-08,2,0.005148596049619578
2023-02-08,3,0.0018317812747621481
2023-02-08,4,0.004378056072310837
2023-02-08,5,-0.0037885946529059226
2023-02-09,1,-0.01328249352517432
2023-02-09,2,-0.01279697821661974
2023-02-09,3,-0.014022843505229574
2023-02-09,4,-0.01574438356131415
2023-02-09,5,-0.01567075850595759
2023-02-10,1,-0.0035183935162675125
2023-02-10,2,0.004174638353999794
2023-02-10,3,-0.0067655967414549266
2023-02-10,4,-0.008893771108346164
2023-02-10,5,-0.00020786583824403538
2023-02-13,1,-0.018045994715998253
2023-02-13,2,-0.02039063717317574
2023-02-13,3,-0.010938021429347662
2023-02-13,4,-0.022560644370485487
2023-02-13,5,-0.013266797054414829
2023-02-14,1,-0.0004259880666019596
2023-02-14,2,0.00024458925934973496
