date,rank_ic_1d
2023-01-02,0.06228316924519456
2023-01-03,0.18673230192217535
2023-01-04,0.01783872480075012
2023-01-05,-0.008298171589310831
2023-01-06,0.2620721987810596
2023-01-09,0.07543366150961088
2023-01-10,-0.004383497421472106
2023-01-11,0.0689873417721519
2023-01-12,-0.058157524613220817
2023-01-13,0.1040084388185654
2023-01-16,0.08663853727144867
2023-01-17,0.17315986872948902
2023-01-18,0.044913267698077824
2023-01-19,0.09549929676511956
2023-01-20,-0.06237693389592124
2023-01-23,0.202977027660572
2023-01-24,0.09024847632442569
2023-01-25,0.14674167838724803
2023-01-26,0.024917955930614164
2023-01-27,0.020956399437412097
2023-01-30,0.22449601500234412
2023-01-31,0.12128457571495546
2023-02-01,-0.14034224097515235
2023-02-02,-0.05820440693858416
2023-02-03,0.016057196436943276
2023-02-06,0.12069854664791377
2023-02-07,0.005157055789967183
2023-02-08,0.011744022503516176
2023-02-09,-0.06579934364744491
2023-02-10,-0.0630801687763713
2023-02-13,0.1404594467885607
2023-02-14,0.09491326769807783
2023-02-15,0.1444913267698078
2023-02-16,0.19542897327707456
2023-02-17,0.13012189404594468
2023-02-20,0.10893108298171592
2023-02-21,0.11842475386779186
2023-02-22,-0.03612283169245195
2023-02-23,0.012986404125644632
2023-02-24,0.055110173464603854
2023-02-27,0.09932020628223161
2023-02-28,0.22660571964369433
2023-03-01,0.25904828879512426
2023-03-02,-0.009634317862165965
2023-03-03,0.1829113924050633
2023-03-06,-0.06047819971870605
2023-03-07,0.0843413033286451
2023-03-08,0.21612751992498833
2023-03-09,0.12890295358649792
2023-03-10,0.01136896390060947
2023-03-13,-0.19669479606188467
2023-03-14,0.22812939521800282
2023-03-15,0.22578527894983594
2023-03-16,-0.13075480543834975
2023-03-17,0.12702766057196438
2023-03-20,-0.053328645100797004
2023-03-21,0.17880918893577122
2023-03-22,0.10918893577121425
2023-03-23,0.11122831692451945
2023-03-24,-0.04488982653539615
2023-03-27,-0.035021097046413506
2023-03-28,0.11474449132676981
2023-03-29,0.14711673699015473
2023-03-30,0.1404828879512424
2023-03-31,-0.036357243319268644
2023-04-03,0.16572902015939991
2023-04-04,0.04730426629160807
2023-04-05,0.004477262072198781
2023-04-06,0.03277074542897328
2023-04-07,-0.049062353492733246
2023-04-10,0.14946085325832162
2023-04-11,0.13900609470229724
2023-04-12,-0.13110642287857477
2023-04-13,-0.0686122831692452
2023-04-14,-0.11858884200656354
2023-04-17,0.14566338490389125
2023-04-18,-0.03504453820909517
2023-04-19,-0.08638068448195031
2023-04-20,0.15853258321612754
2023-04-21,-0.16790904828879516
2023-04-24,0.019409282700421943
2023-04-25,0.036779184247538683
