date,spread_return,cumulative_spread_return
2023-01-02,0.0037567728053617654,0.0037567728053617966
2023-01-03,0.00654209200167101,0.01032344196035484
2023-01-04,0.0009065073338456716,0.011239307570048096
2023-01-05,0.00033007056206694075,0.011573087896681988
2023-01-06,0.00731040378527302,0.01896809562752222
2023-01-09,-0.00043192623892482004,0.0185279765703934
2023-01-10,-0.0009653242810015242,0.017544766783730736
2023-01-11,0.003054040379793458,0.020652389589735698
2023-01-12,-0.004140081186994349,0.016426805833134273
2023-01-13,0.003543583036566023,0.02002859862019557
2023-01-16,0.0022478674752266434,0.022321487730834866
2023-01-17,0.004594134116830559,0.02701816975598792
2023-01-18,0.0029595129385603467,0.03005764331751748
2023-01-19,0.007594055014735632,0.03787995772921948
2023-01-20,-0.0038282520983042795,0.03390669160325466
2023-01-23,0.0053127340166936226,0.0393995628538224
2023-01-24,9.634729712210827e-05,0.03949970619233323
2023-01-25,0.0011338345684325912,0.0406783268930897
2023-01-26,0.0020050091284892807,0.04276489643833137
2023-01-27,0.005343373237417777,0.04833677847887863
2023-01-30,0.004751818703629073,0.05331828479055689
2023-01-31,0.004351895120715692,0.05790221549469754
2023-02-01,-0.006275170244207702,0.05126369899074379
2023-02-02,-0.005019109202313944,0.045987291685080756
2023-02-03,-0.0026531674402061004,0.043212112259912505
2023-02-06,0.006060650506063955,0.04953465627601239
2023-02-07,0.003942558880714209,0.053672508455730794
2023-02-08,-0.0003595108798631814,0.05329370172512826
2023-02-09,-0.0023882649807832716,0.050778157262818535
2023-02-10,0.0033105276780234774,0.054256787435899456
2023-02-13,0.004779197661583424,0.05929528900912162
2023-02-14,0.002838004709179227,0.062301574027740836
2023-02-15,0.002652591202259038,0.0651194258371528
2023-02-16,0.009779875896140653,0.07553616163640875
2023-02-17,0.005812962238346566,0.08178821272997738
2023-02-20,0.004078254799864779,0.08620002070098054
2023-02-21,0.001355600791638636,0.08767247430892078
2023-02-22,-0.001203643252396339,0.08636330467440168
2023-02-23,-0.0014618571516308776,0.084775196708194
2023-02-24,0.002092646456752104,0.08704524767995792
2023-02-27,0.0014936844702226233,0.08866895028484678
2023-02-28,0.008589187045780202,0.09801973152977639
2023-03-01,0.01068588056138859,0.1097530392349515
2023-03-02,-0.0023268686006411915,0.10717078973348948
2023-03-03,0.010424983803634578,0.11871302728431843
2023-03-06,-0.005112591293865439,0.1129935048006907
2023-03-07,0.007827515544031903,0.12170547875992477
2023-03-08,0.006817076874604061,0.12935223123929585
2023-03-09,0.001298874708843701,0.13081911828982862
2023-03-10,-0.00019943243672538398,0.1305935962775724
2023-03-13,-0.011910791066274577,0.11712733217144233
2023-03-14,0.005537851265734563,0.1233138171818946
2023-03-15,0.0012399569838466484,0.1247066779945607
2023-03-16,-0.006288826913013828,0.11763359236874216
2023-03-17,0.0036647153982951913,0.12172940140434774
2023-03-20,-0.004079009612751877,0.11715385639311293
2023-03-21,0.006037073237465034,0.12389819604167474
2023-03-22,0.0009197494029035561,0.12493190073640847
2023-03-23,0.00696163855814882,0.1327632700318666
2023-03-24,-0.0010385116956101465,0.13158688212758096
2023-03-27,-0.0015697405954292693,0.1298105842614501
2023-03-28,0.0062863228404322945,0.13691293834265506
